0.583483, 0.257179
0.288705, 0.797998
0.962432, 0.610797
0.429365, 0.404675
0.741447, 0.282174
0.422926, 0.415479
0.852901, 0.256630
0.473556, 0.565050
0.930418, 0.980804
0.263741, 0.659413
0.927244, 0.406781
0.471999, 0.812250
0.880642, 0.663839
0.309549, 0.532243
0.771630, 0.366710
0.936369, 0.227638
0.555162, 0.757500
0.230049, 0.569842
0.509598, 0.854823
0.159337, 0.422407
0.777947, 0.701621
0.306101, 0.675375
0.444288, 0.383740
0.362072, 0.564562
0.556841, 0.802728
0.538774, 0.839259
0.784661, 0.756554
0.804315, 0.264809
0.401471, 0.725791
0.998718, 0.373882
0.350749, 0.376568
0.221656, 0.943693
0.821192, 0.748100
0.997803, 0.630879
0.716391, 0.345470
0.873684, 0.584033
0.503769, 0.326548
0.888943, 0.709281
0.579608, 0.340983
0.061342, 0.875942
0.450423, 0.449263
0.372265, 0.459578
0.923582, 0.379620
